"category", "layer"
"Administrative Boundaries","Champawat:admin_hq_projected"
"Administrative Boundaries","Champawat:champawat_district_bnd"
"Administrative Boundaries","Champawat:champawat_blocks"
"Administrative Boundaries","Champawat:champawat_tehsil"
"Administrative Boundaries","Champawat:nyayapanchayatbnd_details_chmp"
"Administrative Boundaries","Champawat:villagesbnd_champawat"
"Administrative Boundaries","Champawat:champawat_villages"
"Administrative Boundaries","Champawat:dist_assembly_const"
"Administrative Boundaries","Champawat:champawat_polling_booths"
"Administrative Boundaries","Champawat:champawat_urban_town"
"Infrastructure","Champawat:sports_infrastructure"
"Infrastructure","Champawat:sainik_guest_houses"
"Infrastructure","Champawat:khadiGram_Champ"
"Infrastructure","Champawat:buildings_champawat"
"Land Resources","Champawat:champawat_lulc2005_06"
"Land Resources","Champawat:champawat_lulc2011_12"
"Land Resources","Champawat:champawat_lulc2015_16"
"Land Resources","Champawat:champawat_lulc_2021_22"
"Land Resources","Champawat:champawat_wasteland_08_09"
"Land Resources","Champawat:champawat_wasteland_15_16"
"Land Resources","Champawat:degradation05_06_champ"
"Land Resources","Champawat:degradation15_16_champ"
"Land Resources","Champawat:soiltype"
"Land Resources","Champawat:soildepth"
"Land Resources","Champawat:soildrainage"
"Land Resources","Champawat:soilerosion"
"Land Resources","Champawat:soiltexture"
"Land Resources","Champawat:soil_ph_champawat"
"Land Resources","Champawat:soil_ph_5_15champ"
"Land Resources","Champawat:soil_ph_15_30champ"
"Geology","Champawat:champawat_geomorphology"
"Geology","Champawat:champawat_lineament"
"Geology","Champawat:structure"
"Geology","Champawat:champa_lithology"
"Topography","Champawat:contour_20m_champawat"
"Topography","Champawat:contour_30m_champawat"
"Topography","Champawat:contour_100m_champawat"
"Topography","Champawat_slope"
"Agriculture","Champawat:pulses "
"Agriculture","Champawat:wheat"
"Agriculture","Champawat:gahat"
"Agriculture","Champawat:kala_bhatt"
"Agriculture","Champawat:madua"
"Agriculture","Champawat:red_rice"
"Agriculture","Champawat:rice"
"Education","Champawat:schoolinfo"
"Education","Champawat:champawat_government_girls_inter_colleges "
"Education","Champawat:anganwadi"
"Education","Champawat:champawat_government_inter_colleges"
"Education","Champawat:champawat_government_high_schools"
"Education","Champawat:champawat_higher_education"
"Education","Champawat:polytechnic"
"Education","Champawat:iti"
"Tourism and Religious Spots","Champawat:archaeological_sites"
"Tourism and Religious Spots","Champawat:champawat_sacred_final"
"Tourism and Religious Spots","Champawat:churches"
"Tourism and Religious Spots","Champawat:tourism_activities"
"Tourism and Religious Spots","Champawat:tourism_support_office"
"Tourism and Religious Spots","Champawat:temples_final_champawat"
"Tourism and Religious Spots","Champawat:kmvn_trh"
"Tourism and Religious Spots","Champawat:champawat_frh_new"
"Tourism and Religious Spots","Champawat:hotels_champ"
"Tourism and Religious Spots","Champawat:champawat_maneater_loc"
"Tourism and Religious Spots","Champawat:champawat_man_eater"
"Tourism and Religious Spots","Champawat:chuka_maneater_loc"
"Tourism and Religious Spots","Champawat:chuka_maneater_path"
